## [General]
## runNumber:        240
## runTime:       	 0
## runTimeFrames: 	 1
## pathName:         data/runs/Run_240_181021-14-54
## dateTime:         2018-10-21.15:26:35
## numChips:         7
## shutterTime:      30
## shutterMode:      verylong
## runMode:          0
## fastClock:        0
## externalTrigger:  0
## [Event]
## eventNumber:      830
## useHvFadc:    	 1
## fadcReadout:    	 0
## szint1ClockInt:	 0
## szint2ClockInt:	 0
## fadcTriggerClock: -1
# chipNumber: 0
# chipName:   E 6 W69
# numHits:    59
33	164	70
30	163	39
44	158	83
41	151	31
35	144	55
52	143	48
53	140	66
56	140	15
58	140	16
62	139	57
46	138	37
60	135	31
48	134	48
50	133	61
60	132	33
59	131	56
60	131	84
83	116	47
84	116	34
90	115	23
112	115	67
95	114	29
97	114	54
95	113	41
99	108	34
94	106	58
89	102	28
91	100	29
107	99	70
102	96	8
92	94	44
94	94	52
111	94	71
104	91	41
109	87	32
109	85	24
110	71	12
111	71	56
129	67	59
142	59	39
147	59	24
160	58	41
144	55	55
152	40	55
163	38	48
172	37	37
173	36	43
158	35	27
161	34	38
170	34	60
159	31	30
174	31	41
234	26	24
156	24	73
205	13	68
195	10	50
197	10	18
196	9	40
203	9	61
# chipNumber: 1
# chipName:   K 6 W69
# numHits:    5
35	67	49
16	56	103
26	37	45
18	30	58
27	7	62
# chipNumber: 2
# chipName:   H 9 W69
# numHits:    1
167	253	19
# chipNumber: 3
# chipName:   H 10 W69
# numHits:    1
238	233	15
# chipNumber: 4
# chipName:   G 10 W69
# numHits:    0
# chipNumber: 5
# chipName:   D 9 W69
# numHits:    0
# chipNumber: 6
# chipName:   L 8 W69
# numHits:    2
166	233	11810
234	203	11810
